Publisher Name,Publisher Registry Id,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,Time lag
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,57,45,58,66,70,60,59,79,77,132,133,79,One month
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,1,5,3,5,2,0,0,0,9,2,6,0,One month
Action Against Hunger UK,acf,4,11,4,16,16,11,3,5,20,14,13,8,One month
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,6,3,1,1,6,8,2,1,0,0,1,1,One month
ActionAid UK,aauk,4,4,9,3,8,3,5,4,3,2,4,0,One month
African Development Bank,afdb,947,938,1277,831,1193,542,1140,982,1462,1092,611,15,One month
Agence Française de Développement,afd,21,16,21,25,20,23,13,5,14,32,749,93,One month
Alinea International Ltd.,alineainternational_2020,0,4,4,2,10,6,4,18,6,11,14,0,One month
Alinea International Ltd. UK,alinea_uk,6,16,6,5,13,6,6,13,5,6,4,0,One month
AmplifyChange,amplifychange,19,11,3,27,26,4,4,5,9,12,6,2,One month
Asian Development Bank,asdb,4363,4391,4414,4433,4444,4442,4454,4478,4455,4498,4592,0,One month
Belgian Development Cooperation,be-dgd,178,47,52,40,29,25,5,26,37,27,41,13,One month
Belgian development agency (Enabel),enabel,74,104,107,114,128,170,107,149,135,131,159,0,One month
British Council,britishcouncil,19,30,43,16,49,10,9,37,7,1,27,0,One month
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,2,0,1,1,1,2,1,2,0,0,4,2,One month
CARE International UK,ciuk,12,25,15,5,22,31,37,24,23,37,27,0,One month
CARE Nederland,carenederland,20,18,13,8,13,9,7,5,7,6,12,121,One month
CARE SOMALIA,csom1,1,0,0,0,1,0,0,0,2,1,0,1,One month
CGIAR,cgiar,42,50,38,42,46,60,32,40,24,18,28,14,One month
CISU,cisu,70,41,80,62,76,33,58,48,63,70,62,75,One month
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,225,552,59,105,143,136,96,93,89,162,196,154,One month
Centre for Economic Policy Research,cepr,99,82,48,70,35,40,47,162,60,69,58,26,One month
Christian Aid,caid,74,6,19,19,24,44,30,44,60,38,35,1,One month
Christian Aid Ireland,caid_ireland,83,3,7,25,22,22,26,5,6,17,5,0,One month
Clinton Health Access Initiative,chai,1,11,2,0,9,1,3,8,1,1,2,0,One month
Coalition for Epidemic Preparedness Innovations,cepi,3,4,2,4,5,3,2,5,3,5,6,0,One month
Cordaid,cordaid,22,24,23,18,28,9,8,26,7,9,18,2,One month
Danish Red Cross,danishrc,0,1,1,0,2,2,1,0,1,0,2,1,One month
Danish Refugee Council,drc,4,8,0,1,1,0,8,3,2,2,5,0,One month
Danish Trade Union Development Agency (Ulandssekretariatet),loftf,1,18,1,12,17,0,0,0,2,2,22,0,One month
"Denmark - Ministry of Foreign Affairs, Danida",danida,531,643,748,740,805,775,607,822,920,1038,1866,599,One month
Dorcas Aid International,dai,2,2,0,0,1,3,0,0,3,1,1,0,One month
Education Cannot Wait,ecw,6,3,1,3,3,6,8,7,4,12,12,3,One month
Ethiopiaid UK,ethiopiaiduk,0,2,2,12,3,2,0,0,11,1,2,0,One month
European Bank for Reconstruction and Development,ebrd,96,71,83,113,112,104,109,110,115,126,179,0,One month
European Commission - Humanitarian Aid & Civil Protection,ec-echo,130,134,475,537,414,265,163,117,244,347,271,4,One month
European Commission - International Partnerships,ec-intpa,439,459,503,574,621,751,592,496,726,1110,1936,0,One month
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,185,220,358,309,309,356,286,272,329,568,675,0,One month
European Commission - Service for Foreign Policy Instruments,ec-fpi,34,33,54,62,57,67,62,81,80,88,189,0,One month
European Investment Bank,eib,8,13,4,8,14,7,3,9,16,12,215,0,One month
Finland - Ministry for Foreign Affairs,finland_mfa,39,74,52,73,87,70,48,56,111,78,152,0,One month
Gates Foundation,bmgf,178,263,277,244,247,280,244,300,372,429,200,117,One month
"Gavi, the vaccine alliance",gavi,465,333,268,406,486,379,370,385,408,422,790,811,One month
Germany - Ministry for Economic Cooperation and Development,bmz,272,330,301,179,331,261,190,285,310,390,6064,31,One month
Germany GIZ Non BMZ,giz,0,0,0,0,0,0,0,2,2,0,2,4,One month
Global Innovation Fund,gif,0,3,1,5,2,2,3,0,2,1,2,0,One month
Handicap International UK,hiuk,1,4,1,3,2,4,3,1,3,3,1,0,One month
Healthy Entrepreneurs Foundation,hefoundation,1,0,2,0,3,0,0,0,1,0,2,1,One month
HelpAge International UK,ageintl,2,2,6,3,6,8,8,0,6,4,3,7,One month
Hivos,stichting_hivos,123,165,206,218,219,191,234,274,248,227,310,68,One month
IDB Invest,idbinvest,2,4,3,2,1,5,2,2,9,8,23,0,One month
Innovations for Poverty Action,ipa_,0,41,34,44,43,43,47,43,51,60,22,0,One month
Inter-American Development Bank,iadb,50,64,67,81,62,78,76,63,89,80,215,33,One month
International Center for Not-for-Profit Law,icnl_org,0,4,0,0,9,0,2,1,1,1,9,0,One month
International Committee of the Red Cross (ICRC),icrc,527,501,494,485,497,485,477,495,499,482,62,0,One month
International Development Law Organization (IDLO),idlo,6,68,8,7,59,5,6,69,6,5,10,0,One month
International Finance Corporation,ifcwbg,7,25,10,20,42,17,12,20,11,18,59,6,One month
International Fund for Agricultural Development (IFAD),ifad,79,70,69,109,82,101,120,93,69,123,137,59,One month
International Labour Organization (ILO),ilo,1339,1516,1585,1514,1505,1474,1536,1515,1621,1735,2427,1058,One month
International Organization for Migration (IOM),iom,71,2592,115,76,2755,64,32,2626,65,23,668,10,One month
International Planned Parenthood Federation,ippf,36,47,11,25,9,10,35,28,7,44,9,0,One month
Islamic Development Bank,isdb,372,370,384,404,698,753,355,324,430,347,1019,0,One month
Japan International Cooperation Agency (JICA),jica,17,17,12,6,7,10,15,8,13,10,8,0,One month
King Salman Humanitarian Aid and Relief Centre,ksrelief291,43,15,17,48,27,25,21,17,9,2,1,0,One month
London School of Hygiene and Tropical Medicine,lshtm,4,8,3,0,6,3,1,6,7,1,1,0,One month
Mercy Corps Europe,mce,0,43,1,0,51,0,0,46,0,1,28,0,One month
Millennium Challenge Corporation,millenniumchallenge,394,490,574,474,466,606,404,608,544,396,444,0,One month
Ministry of Foreign Affairs - United Arab Emirates (UAE),mofaic_uae,5,109,7,5,11,10,4,8,6,12,60,0,One month
Netherlands - Ministry of Foreign Affairs,minbuza_nl,229,222,163,333,296,443,412,348,420,930,309,0,One month
Netherlands Enterprise Agency (RVO),rvo,262,219,293,288,227,324,217,241,433,390,704,162,One month
Netherlands Red Cross,nlrc,231,295,244,239,258,233,211,188,195,243,202,3,One month
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,mfat,683,878,599,1009,1445,421,692,1005,1106,1831,2545,6,One month
Norad - Norwegian Agency for Development Cooperation,norad,298,426,759,382,407,411,193,606,599,676,1116,0,One month
OCHA Country Based Pooled Funds,unocha-cbpf,357,438,394,380,325,389,388,476,593,410,485,184,One month
Oxfam IBIS,ibis_denmark,8,5,11,4,6,10,15,8,4,13,13,4,One month
Oxfam Novib,onl,846,1245,619,814,785,682,605,780,750,770,923,533,One month
Plan International Netherlands,plannlno,84,146,83,107,139,82,72,86,77,83,139,2,One month
Plan International UK,plan_uk,36,44,71,106,55,43,45,103,54,37,39,65,One month
Scottish Catholic International Aid Fund (SCIAF),sciaf,0,4,2,0,7,2,0,3,0,2,4,1,One month
Society For Promotion of Area Resource Centres,sparc_iati,0,1,1,2,0,1,0,1,1,0,1,1,One month
"Sweden, through Swedish International Development Cooperation Agency (Sida)",sida,610,1361,543,710,651,633,373,706,877,963,1261,330,One month
TEAR fund Nederland,tear,16,20,23,45,45,13,5,2,7,5,11,0,One month
The Commonwealth Secretariat,commonwealthsecretariat,253,375,442,374,405,6,0,0,1,2,2,0,One month
The Global Alliance for Improved Nutrition,gain,312,345,326,327,409,349,329,335,310,350,374,0,One month
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",theglobalfund,1431,1696,1471,1327,1880,1696,1426,1533,1953,2030,400,0,One month
The Hunger Project Netherlands,thp_org,13,0,0,2,4,12,6,2,13,4,0,26,One month
The William and Flora Hewlett Foundation,hewlett-foundation,26,27,42,32,61,63,52,55,16,31,23,5,One month
The World Bank,worldbank,2035,2140,2337,2453,2352,1494,2196,212,243,247,169,0,One month
Trocaire (Northern Ireland),troc,11,3,1,7,7,3,3,3,6,4,2,0,One month
"UK - Department for Environment, Food and Rural Affairs",defra_transparency,2,8,4,6,7,7,7,4,7,3,4,0,One month
UK - Department of Health and Social Care (DHSC),dhsc,14,118,21,18,95,27,14,8,8,9,15,0,One month
"UK - Foreign, Commonwealth and Development Office",fcdo,651,976,698,637,696,760,684,686,878,974,1120,127,One month
"UK Department for Energy, Security and Net Zero",desnz,3,11,1,3,3,3,4,4,7,3,10,0,One month
UNITAID,utd,4,2,9,3,6,23,3,1,4,6,7,4,One month
United Nations Central Emergency Response Fund (CERF),cerf,50,42,45,70,84,21,38,43,92,93,191,70,One month
United Nations Children's Fund (UNICEF),unicef,13322,13994,14052,14877,14580,14271,13892,13845,15148,15277,99055,0,One month
United Nations Development Programme (UNDP),undp,0,0,0,0,0,0,0,0,0,0,6609,13172,One month
United Nations Environment Programme (UNEP),un-environment,0,0,0,0,0,8,0,0,2,5,2,0,One month
United Nations High Commissioner for Refugees (UNHCR),unhcr,416,498,461,546,494,439,296,474,359,440,669,27,One month
United Nations Industrial Development Organization (UNIDO),unido,2286,2456,2358,2428,2640,2244,2544,2566,2164,2738,2724,2376,One month
United Nations Office for Project Services (UNOPS),unops,16,33,27,26,40,59,26,26,30,31,47,140,One month
United Nations Office for the Coordination of Humanitarian Affairs (OCHA),unocha,64,17,58,9,96,33,25,8,85,21,29,49,One month
United Nations World Food Programme (WFP),wfp,2370,2757,2409,2445,2281,2531,2389,2301,2205,2179,2833,2655,One month
United States Agency for International Development (USAID),usaid,2789,30016,2862,3334,32567,3184,3250,43398,33435,13145,2646,0,One month
Universiteit Leiden,universiteit_leiden,0,1,0,0,0,1,0,1,0,1,1,0,One month
University of Cape Town,uct,2,4,1,3,2,1,1,5,0,4,1,0,One month
WNF Wereld Natuur Fonds,wnf,1,21,6,1,2,2,10,5,3,3,13,0,One month
WasteAid UK,wasteaid,2,1,0,0,0,0,0,0,0,2,8,0,One month
Women Challenged to Challenge,wctc,0,0,0,1,0,1,0,0,1,0,1,1,One month
World Health Organization (WHO),who,9386,11781,11987,13840,13758,14083,14178,13895,15211,15827,17739,0,One month
World Wide Fund for Nature Denmark,wwfdk,0,0,1,5,2,0,1,1,1,1,4,0,One month
ZOA,zoa,11,9,6,13,8,14,10,17,9,13,3,0,One month
ADRA Denmark,adra-dk,1,0,0,1,0,1,2,0,0,0,0,1,A quarter
AVSI FOUNDATION IN UGANDA,avsi_uganda,0,2,0,0,0,0,3,0,2,0,2,0,A quarter
Agsol Limited,agsollimited,0,1,1,0,1,0,0,0,0,0,1,0,A quarter
BBC Media Action,bbcmediaaction,0,10,0,0,6,0,0,7,0,0,8,0,A quarter
Bond,bond,0,0,0,0,4,3,2,2,5,1,0,0,A quarter
CARE Bangladesh,carebd,0,4,1,3,2,1,3,0,0,0,1,0,A quarter
CDP Worldwide,cdp,1,2,0,1,0,0,0,1,0,0,2,0,A quarter
Center for Church-Based Development,cku,0,0,0,0,1,0,0,1,0,0,2,0,A quarter
Chemonics Group UK Ltd,chemonics_uk,37,57,18,18,18,14,10,11,1,2,0,0,A quarter
Christian Blind Mission (UK) Ltd.,cbm,2,3,2,2,2,1,3,2,0,1,0,0,A quarter
Clean Clothes Campaign,ccc,0,0,1,0,0,0,0,0,0,0,2,0,A quarter
Concern Worldwide,concern_worldwide,0,1,0,0,0,0,0,22,0,1,0,0,A quarter
Concern Worldwide UK,concernuk,0,2,0,0,0,0,0,18,0,2,0,0,A quarter
DanChurchAid,dca,49,180,32,42,172,2,1,0,0,0,3,0,A quarter
DiXi Group NGO,dixigroup,0,0,1,0,1,0,1,1,0,0,2,0,A quarter
Family Counseling and Development Foundation,fcdf,0,0,0,0,0,0,0,0,1,1,0,0,A quarter
Fauna & Flora International,ffi_publisher,0,2,0,1,3,1,0,4,0,0,3,0,A quarter
GEF Secretariat,gef,37,15,12,21,32,5,334,524,40,22,0,0,A quarter
HiiL innovating Justice,hiil_mfa,1,0,0,0,1,0,0,1,0,0,0,1,A quarter
IRC,irc,5,5,0,0,5,0,5,5,0,0,8,0,A quarter
Institute for Community Based Sociotherapy,ic-bs_24,0,5,0,1,5,0,1,5,0,0,5,0,A quarter
International Rescue Committee UK,irc_uk,5,22,10,16,18,6,8,11,0,2,0,0,A quarter
InvestInternational,investinternational,41,17,18,9,15,19,15,18,25,0,0,6,A quarter
Islamic Relief Worldwide,irw,0,1,0,0,1,2,4,2,2,3,0,0,A quarter
Just Associates,jass,0,0,0,0,0,0,0,0,0,0,69,0,A quarter
London School of Economics and Political Science,lse,17,31,51,41,12,14,15,10,2,2,0,0,A quarter
"Mahila Sarvangeen Utkarsh Mandal, Pune, India",masumpune_87,0,0,0,0,0,0,0,0,0,0,1,0,A quarter
Mission Øst,missioneast,1,0,0,0,0,2,2,0,0,0,0,2,A quarter
Mondiaal FNV (Stichting),mondiaalfnv,0,5,0,0,9,0,0,6,0,0,4,0,A quarter
NIRAS Group (UK) Limited,niras_uk,0,67,0,0,62,0,0,10,0,0,8,0,A quarter
Neotree,nt_2024,0,0,0,0,0,3,0,4,2,0,4,0,A quarter
Netherlands Food Partnership,nfp,0,0,0,0,0,0,0,0,0,0,1,0,A quarter
