Publisher Name,Publisher Registry Id,Activities,Organisations,Files,Activity Files,Organisation Files,Total File Size,Reporting Org on Registry,Reporting Orgs in Data (count),Reporting Orgs in Data,Hierarchies (count),Hierarchies
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,18,0,1,1,0,92501,DK-CVR-12921047,1,DK-CVR-12921047,1,1
Association African Solidarité (AAS),240001090,1,1,2,1,1,2929,BF-MATD-1131,1,BF-MATD-1131,1,1
University Of Zimbabwe,1-uz,1,1,2,1,1,3663,XI-GRID-grid.13001.33,1,XI-GRID-grid.13001.33,1,1
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,111111_publisher,32,1,3,2,1,617868,BE-BCE_KBO-0421210424,1,BE-BCE_KBO-0421210424,2,1;2
3F International,3fi,1,0,1,1,0,14624,DK-CVR-31378028,1,DK-CVR-31378028,1,1
International Initiative for Impact Evaluation,3ie,7,0,7,7,0,195237,US-EIN-262681792,1,US-EIN-262681792,1,null
60 Decibels,60db,0,1,1,0,1,576,US-EIN-83-2847769,1,US-EIN-83-2847769,0,
Hiber for Electronic Media,7iberdotcom,1,1,2,1,1,25565,JO-CCD-58307,1,JO-CCD-58307,1,1
Acid Survivors Foundation,_admin,2,0,1,1,0,8050,PK-VSWA-511-2007,2,PK-VSWA-511-2007;XI-IATI-VSWA-511-2007,1,1
Centro Brasileiro de Análise e Planejamento - Cebrap,_cebrap,1,1,2,1,1,12723,BR-CNPJ-62579164-0001-72,1,BR-CNPJ-62579164-0001-72,1,1
PATH,_path_,5,0,2,2,0,122111,US-EIN-91-1157127,1,US-EIN-91-1157127,1,1
Autre Terre asbl,a-t,14,1,3,2,1,222188,BE-BCE_KBO-0423588904,1,BE-BCE_KBO-0423588904,2,1;2
ActionAid Bangladesh,aab,9,1,2,1,1,112684,BD-NAB-0210,1,BD-NAB-0210,1,1
Action Aid Cambodia,aac,1,1,2,1,1,17755,KH-INGO-20201231,1,KH-INGO-20201231,1,1
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,29,1,2,1,1,401106,DK-CVR-18243717,1,DK-CVR-18243717,1,1
ActionAid Ghana,aag,1,1,2,1,1,99670,GH-DSW-3064,1,GH-DSW-3064,1,1
Action Against Hunger USA,aahusa,2,0,1,1,0,22550,US-EIN-13-3327220,1,US-EIN-13-3327220,1,1
ActionAid International,aai,1,0,1,1,0,17231,NL-KVK-27264198,1,NL-KVK-27264198,1,1
