Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
3F International,3fi,National NGO,0.0,0.0,71.52777777777777,23.84259259259259
60 Decibels,60db,Private Sector,0.0,0.0,0.0,0.0
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,National NGO,0.0,0.0,58.541666666666664,19.51388888888889
Aasaman Nepal,aasaman,National NGO,0.0,0.0,0.0,0.0
ABAAD - Resource Center for Gender Equality,arcfge,National NGO,12.5,0.0,0.0,4.166666666666667
Abaseen Foundation UK,abaseen,International NGO,0.0,0.0,0.0,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,"Academic, Training and Research",75.0,66.66666666666667,71.52777777777777,71.06481481481482
Able Child Africa,ablechildafrica,International NGO,0.0,0.0,0.0,0.0
Abt Associates Inc,abt,Private Sector,0.0,0.0,66.94444444444444,22.314814814814813
Abt Britain Limited,abtbritain,Private Sector,12.5,0.0,77.01388888888889,29.837962962962962
Acacia Water,aw,Private Sector,0.0,0.0,0.0,0.0
Académie de recherche et d'enseignement supérieur,ares,"Academic, Training and Research",37.5,18.333333333333332,79.37541228102346,45.069581871452264
Accelerator Nepal,acceleratornepal,National NGO,0.0,0.0,68.05555555555556,22.685185185185187
Access to Medicine Foundation,atmf,Foundation,0.0,0.0,0.0,0.0
Access to Seeds Foundation,atsf,International NGO,0.0,0.0,51.49572649572649,17.165242165242162
ACCORD,accord_2024,Regional NGO,0.0,0.0,0.0,0.0
"Aceli Africa, Inc.",aceliafrica,International NGO,0.0,0.0,88.88888888888889,29.62962962962963
Acid Survivors Foundation,_admin,National NGO,0.0,0.0,68.05555555555556,22.685185185185187
ACODEV,acodev,National NGO,0.0,0.0,76.38888888888889,25.462962962962962
Across,across,International NGO,0.0,0.0,0.0,0.0
ACT Alliance,act_alliance,International NGO,0.0,0.0,62.5,20.833333333333332
act4africa,act4africa,International NGO,0.0,0.0,0.0,0.0
ACTED,acted,International NGO,0.0,0.0,58.19444444444444,19.39814814814815
ACTION AGAINST HUNGER SPAIN,acfspain,International NGO,12.5,0.0,75.26388888888889,29.25462962962963
Action Against Hunger UK,acf,International NGO,100.0,24.333333333333332,67.73244812624894,64.02192715319408
Action Against Hunger USA,aahusa,International NGO,0.0,0.0,54.02777777777778,18.00925925925926
Action Aid Cambodia,aac,International NGO,0.0,0.0,71.52777777777777,23.84259259259259
Action Canada for Sexual Health and Rights,acfshr,International NGO,12.5,33.333333333333336,82.63888888888889,42.824074074074076
Action Contre la Faim,acf-fr,International NGO,50.0,0.0,63.40277777777778,37.800925925925924
ActionAid Bangladesh,aab,International NGO,0.0,0.0,72.51984126984128,24.173280423280428
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,International NGO,100.0,0.0,75.18518518518519,58.39506172839506
ActionAid Ghana,aag,National NGO,0.0,0.0,0.0,0.0
ActionAid International,aai,International NGO,0.0,0.0,0.0,0.0
ACTIONAID INTERNATIONAL KENYA,aaik,International NGO,0.0,0.0,79.86111111111111,26.62037037037037
ActionAid Rwanda,aar,National NGO,0.0,0.0,0.0,0.0
ActionAid UK,aauk,International NGO,87.5,0.0,75.22139299578325,54.24046433192775
Acumen,acumen,International NGO,37.5,83.33333333333333,60.27777777777778,60.370370370370374
