Publisher Name,Publisher Registry Id,Publisher Type,Number of Activities,Publishing Humanitarian,Using Humanitarian Attribute,Appeal or Emergency Details,Clusters,Humanitarian Score
3F International,3fi,National NGO,0,0,0.0,0.0,0.0,0.0
50 Eight Limited,fifty_eight,Private Sector,0,0,0.0,0.0,0.0,0.0
60 Decibels,60db,Private Sector,0,0,0.0,0.0,0.0,0.0
Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),ask,National NGO,0,0,0.0,0.0,0.0,0.0
Aasaman Nepal,aasaman,National NGO,0,0,0.0,0.0,0.0,0.0
ABAAD - Resource Center for Gender Equality,arcfge,National NGO,0,0,0.0,0.0,0.0,0.0
Abaseen Foundation UK,abaseen,International NGO,0,0,0.0,0.0,0.0,0.0
Abdul Latif Jameel Poverty Action Lab at MIT,jpal,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Able Child Africa,ablechildafrica,International NGO,0,0,0.0,0.0,0.0,0.0
Abt Associates Inc,abt,Private Sector,0,0,0.0,0.0,0.0,0.0
Abt Britain Limited,abtbritain,Private Sector,0,0,0.0,0.0,0.0,0.0
Acacia Water,aw,Private Sector,0,0,0.0,0.0,0.0,0.0
Academy for Health Development (AHEAD),ahead,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Académie de recherche et d'enseignement supérieur,ares,"Academic, Training and Research",2,100,0.0,0.0,0.0,25.0
Accelerator Nepal,acceleratornepal,National NGO,0,0,0.0,0.0,0.0,0.0
Access to Medicine Foundation,atmf,Foundation,0,0,0.0,0.0,0.0,0.0
Access to Seeds Foundation,atsf,International NGO,0,0,0.0,0.0,0.0,0.0
ACCORD,accord_2024,Regional NGO,0,0,0.0,0.0,0.0,0.0
Accountability Lab,alab,National NGO,0,0,0.0,0.0,0.0,0.0
Accountable Now,accountablenow,International NGO,0,0,0.0,0.0,0.0,0.0
"Aceli Africa, Inc.",aceliafrica,International NGO,0,0,0.0,0.0,0.0,0.0
Acid Survivors Foundation,_admin,National NGO,0,0,0.0,0.0,0.0,0.0
ACODEV,acodev,National NGO,0,0,0.0,0.0,0.0,0.0
Across,across,International NGO,0,0,0.0,0.0,0.0,0.0
ACT Alliance,act_alliance,International NGO,2,100,100.0,0.0,0.0,50.0
act4africa,act4africa,International NGO,0,0,0.0,0.0,0.0,0.0
ACTED,acted,International NGO,0,0,0.0,0.0,0.0,0.0
ACTION AGAINST HUNGER SPAIN,acfspain,International NGO,22,100,100.0,0.0,0.0,50.0
Action Against Hunger UK,acf,International NGO,129,100,100.0,0.0,0.0,50.0
Action Against Hunger USA,aahusa,International NGO,2,100,100.0,0.0,0.0,50.0
Action Aid Cambodia,aac,International NGO,1,100,100.0,0.0,0.0,50.0
Action Canada for Sexual Health and Rights,acfshr,International NGO,0,0,0.0,0.0,0.0,0.0
Action Contre la Faim,acf-fr,International NGO,19,100,100.0,0.0,0.0,50.0
ActionAid Bangladesh,aab,International NGO,7,100,100.0,100.0,0.0,75.0
ActionAid Denmark (Mellemfolkeligt Samvirke),aadk,International NGO,2,100,100.0,0.0,0.0,50.0
ActionAid Ghana,aag,National NGO,0,0,0.0,0.0,0.0,0.0
ActionAid International,aai,International NGO,0,0,0.0,0.0,0.0,0.0
ACTIONAID INTERNATIONAL KENYA,aaik,International NGO,0,0,0.0,0.0,0.0,0.0
ActionAid International Nepal,aain,International NGO,0,0,0.0,0.0,0.0,0.0
ActionAid Rwanda,aar,National NGO,0,0,0.0,0.0,0.0,0.0
ActionAid UK,aauk,International NGO,63,100,100.0,39.682539682539684,0.0,59.920634920634924
Acumen,acumen,International NGO,0,0,0.0,0.0,0.0,0.0
ACV-CSC International,iiwe,National NGO,0,0,0.0,0.0,0.0,0.0
Adam Smith International,asi,Private Sector,11,100,100.0,0.0,0.0,50.0
Adaptation Fund,af,Multilateral,4,100,0.0,0.0,0.0,25.0
ADD International (Action on Disability and Development),addinternational,International NGO,0,0,0.0,0.0,0.0,0.0
Adili Solar Hubs Limited,adili_sh,Private Sector,0,0,0.0,0.0,0.0,0.0
Administração de Infra-Estruturas de Águas e Saneamento,aias,Government,0,0,0.0,0.0,0.0,0.0
ADRA Denmark,adra-dk,National NGO,15,100,100.0,0.0,0.0,50.0
ADRA-UK,adrauk,International NGO,0,0,0.0,0.0,0.0,0.0
ADS-Nyanza,ads-nyanza,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Advance Consulting,ac1999,Private Sector,0,0,0.0,0.0,0.0,0.0
Adventist Development and Relief Agency (ADRA Somalia),adrasom,International NGO,0,0,0.0,0.0,0.0,0.0
"Adventist Development and Relief Agency, Nepal",adra_nepal,International NGO,2,100,100.0,0.0,0.0,50.0
AECOM,aecom,Private Sector,64,100,100.0,0.0,0.0,50.0
Aeras,aeras,International NGO,0,0,0.0,0.0,0.0,0.0
AFELT,afelt,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
AFEW International,afewinternational,International NGO,6,100,100.0,0.0,0.0,50.0
Afghanaid,afghanaid,International NGO,0,0,0.0,0.0,0.0,0.0
Afghanistan and Central Asian Association,acaa,International NGO,0,0,0.0,0.0,0.0,0.0
Afghanistan Public Policy Research Organization (APPRO),appro-af,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Africa Climate Ventures,acv,Private Sector,0,0,0.0,0.0,0.0,0.0
Africa Educational Trust,aet,International NGO,0,0,0.0,0.0,0.0,0.0
Africa Philanthropy Network,apn,International NGO,0,0,0.0,0.0,0.0,0.0
Africalia,africalia,Other Public Sector,0,0,0.0,0.0,0.0,0.0
African Academy of Sciences,aas,International NGO,0,0,0.0,0.0,0.0,0.0
African Center for Economic Transformation (ACET),acet,Regional NGO,0,0,0.0,0.0,0.0,0.0
African Centre for Global Health and Social Transformation,achest,International NGO,0,0,0.0,0.0,0.0,0.0
African Centre for Trade and Development,actade,National NGO,0,0,0.0,0.0,0.0,0.0
African Development Bank,afdb,Multilateral,18,100,0.0,0.0,0.0,25.0
African Disability Forum (ADF),et-adf-0317,Regional NGO,7,100,100.0,0.0,0.0,50.0
African Initiatives,ai_1064413,International NGO,0,0,0.0,0.0,0.0,0.0
African Institute For Development Policy,afidep,International NGO,0,0,0.0,0.0,0.0,0.0
African Parks Network,african_parks,International NGO,0,0,0.0,0.0,0.0,0.0
